k.Name,Description,d.Rate,foo0,foo1,foo2,foo3,foo4,foo5,foo6,foo7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
dtype_0,my dtype of amazeballs,1.1,bar0,bar1,bar2,bar3,bar4,bar5,bar6,bar7
